id,Year,Sample Name,BET(m2 / g),Eg(eV),NO2(%),PT(h),T(℃),PM(g),HR(℃/min),urea,thiourea,dicyandiamide,melamine,Whether doping,Doping ratio(wt%),Load/g(12cm),Tungsten halogen lamp, LED lamp,Xe lamp,Metal halide lamp,Else,Intensity(W/m2),Flow rate(L/min),Pore volume(cm3/g),NOx(%),CT(h),Load (g)
0,2013,CN-0,31.0,2.72,15.45,0.0,550.0,10.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.091,26.0,0.0,0.0
1,2013,CN-15,35.0,2.7,14.56,0.25,550.0,10.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.14,28.5,0.0,0.0
2,2013,CN-30,52.0,2.69,14.17,0.5,550.0,10.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.25,29.7,0.0,0.0
3,2013,CN-60,62.0,2.68,13.67,1.0,550.0,10.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.3,30.3,0.0,0.0
4,2013,CN-120,75.0,2.72,12.52,2.0,550.0,10.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.34,31.3,0.0,0.0
5,2013,CN-240,288.0,2.78,10.21,4.0,550.0,10.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,1.41,32.1,0.0,0.0
6,2013,CN-U,75.0,2.73,28.26154370885859,2.0,550.0,6.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.35049150488665515,31.7,0.0,0.0
7,2013,CN-T,27.0,2.45,28.161217067338995,2.0,550.0,6.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.13269635036799313,27.3,0.0,0.0
8,2013,CN-TU,41.0,2.58,33.93525338171463,2.0,550.0,12.0,15.0,1.0,1.0,0.0,0.0,0,0.0,0.1,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.2238875527065715,47.6,0.0,0.0
9,2014,CN-500 °C,5.0,2.44,56.66,2.0,500.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.029,10.2,0.0,0.0
10,2014,CN-525 °C,16.0,2.43,39.72,2.0,525.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.087,12.9,0.0,0.0
11,2014,CN-550 °C,27.0,2.42,35.47,2.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.142,22.0,0.0,0.0
13,2014,CN-600 °C,36.0,2.57,27.18,2.0,600.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.25,32.7,0.0,0.0
14,2014,CN-0 min,6.0,2.37,45.55,0.0,550.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.036,7.7,0.0,0.0
15,2014,CN-15 min,8.0,2.38,43.18,0.25,550.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.048,10.2,0.0,0.0
16,2014,CN-30 min,10.0,2.39,41.79,0.5,550.0,10.0,15.0,0.0,1.0,0.0,0.0,0,0.0,0.2,1.0,0,0.0,0.0,0.0,1600.0,2.4,0.06,14.1,0.0,0.0
